序號,店內 SKU,產品名稱,品牌,分類,供應商 SKU,Stripe Product ID,活躍 HKD Price 數,現行 HKD 售價／Price ID／規格,原始匯入來源,原始匯入鍵,現有 Product metadata 欄位數,需先作欄位容量審核,待輸入 CNY 成本（如各變體相同）,成本來源／供應商連結或單據,成本日期,確認目標毛利率（例如 0.45）,入境／運費 HKD（如適用）,備註
14,MH-CAT-CIAO-042,CIAO 炙烤盛宴｜正宗高湯味 (香烤風味)｜30g,CIAO 炙烤盛宴,cats,CIAOVL-14,prod_V8fe3PM27QjYNh,1,HK$14.90 · price_1U8VfPRyM6dRKLtZSELHnoX6 · 30g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-14,27,否,,,,,,
15,MH-CAT-CIAO-043,CIAO Premium｜6種功能性成分 (鰹魚雞胸肉木魚花)｜30g,CIAO Premium,cats,CIAOVL-15,prod_V8fe1kWPFBfcKh,1,HK$10.90 · price_1U8VfIRyM6dRKLtZYp1aULxk · 30g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-15,27,否,,,,,,
16,MH-CAT-CIAO-044,CIAO Premium｜6種功能性成分 (雞胸肉扇貝味)｜30g,CIAO Premium,cats,CIAOVL-16,prod_V8feew2ryjD7ql,1,HK$10.90 · price_1U8VfGRyM6dRKLtZqnZL6lHd · 30g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-16,27,否,,,,,,
17,MH-CAT-CIAO-045,Vet's Labo｜MediMousse 腸胃呵護慕斯｜95g,Vet’s Labo,cats,CIAOVL-17,prod_V8feViin1yPowA,1,HK$38.90 · price_1U8VgJRyM6dRKLtZ4V7rcIn2 · 95g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-17,50,是,,,,,,
18,MH-CAT-CIAO-046,Vet's Labo｜MediMousse 健康支持慕斯｜95g,Vet’s Labo,cats,CIAOVL-18,prod_V8fexvyuSOogz8,1,HK$38.90 · price_1U8VgFRyM6dRKLtZy9DpjTcg · 95g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-18,50,是,,,,,,
19,MH-CAT-CIAO-047,Vet's Labo｜MediMousse 皮膚維護慕斯｜95g,Vet’s Labo,cats,CIAOVL-19,prod_V8feexDq7xAidn,1,HK$38.90 · price_1U8VgIRyM6dRKLtZ5N8bJkjF · 95g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-19,50,是,,,,,,
20,MH-CAT-CIAO-048,Vet's Labo｜MediMousse 減肥減脂慕斯｜95g,Vet’s Labo,cats,CIAOVL-20,prod_V8fe6YUsIrEf8Q,1,HK$38.90 · price_1U8VgGRyM6dRKLtZXOrz5nwX · 95g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-20,50,是,,,,,,
21,MH-CAT-CMP-001,COMBO Present 男生喜歡的口味 魚味 小包｜COMBO Present Boy-Friendly Fish Mini Pack,COMBO Present,cats,,prod_V8crHGAsSzl77H,1,HK$32.90 · price_1U8VfyRyM6dRKLtZv3pqg3t2 · 42g (3g×14包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-boy-friendly-fish-mini-pack,27,否,,,,,,
22,MH-CAT-CMP-002,COMBO Present 潔齒防口臭 混合肉味 小包｜COMBO Present Dental and Breath Care Meat Mini Pack,COMBO Present,cats,,prod_V8cr9iyVmqUz8O,1,HK$32.90 · price_1U8VfwRyM6dRKLtZTi5PY8Go · 42g (3g×14包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-dental-and-breath-care-meat-mini-pack,27,否,,,,,,
23,MH-CAT-CMP-003,COMBO Present 潔齒防口臭 混合海鮮 小包｜COMBO Present Dental and Breath Care Seafood Mini Pack,COMBO Present,cats,,prod_V8crzRJNuOzt2e,1,HK$32.90 · price_1U8VfuRyM6dRKLtZ1Xzbqwgz · 42g (3g×14包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-dental-and-breath-care-seafood-mini-pack,27,否,,,,,,
24,MH-CAT-CMP-004,COMBO Present 潔齒防口臭 三種口味｜COMBO Present Dental and Breath Care Three-Flavour Variety Pack,COMBO Present,cats,,prod_V8crNNIKOTELSy,1,HK$58.90 · price_1U8VftRyM6dRKLtZjUSxlTXX · 90g (3g×30包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-dental-and-breath-care-three-flavour-variety-pack,27,否,,,,,,
25,MH-CAT-CMP-005,COMBO Present 腸道環境維持 海鮮 小包｜COMBO Present Digestive Support Seafood Mini Pack,COMBO Present,cats,,prod_V8crT5vLCe95hY,1,HK$32.90 · price_1U8VgARyM6dRKLtZ6qLx74OA · 42g (3g×14包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-digestive-support-seafood-mini-pack,27,否,,,,,,
26,MH-CAT-CMP-006,COMBO Present 腸道環境維持 三種口味｜COMBO Present Digestive Support Three-Flavour Variety Pack,COMBO Present,cats,,prod_V8cr9ARnvUOKQM,1,HK$58.90 · price_1U8Vg8RyM6dRKLtZk2x37iHr · 90g (3g×30包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-digestive-support-three-flavour-variety-pack,27,否,,,,,,
27,MH-CAT-CMP-007,COMBO Present 女生喜歡口味 混合海鮮 小包｜COMBO Present Girl-Friendly Seafood Mini Pack,COMBO Present,cats,,prod_V8cr9Jv6Ewv0ui,1,HK$32.90 · price_1U8VfoRyM6dRKLtZD0xQ0o0K · 42g (3g×14包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-girl-friendly-seafood-mini-pack,27,否,,,,,,
28,MH-CAT-CMP-008,COMBO Present 化毛配方 混合海鮮 小包｜COMBO Present Hairball Care Seafood Mini Pack,COMBO Present,cats,,prod_V8crpeVGxpASKY,1,HK$32.90 · price_1U8VfmRyM6dRKLtZmIZuJdnn · 42g (3g×14包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-hairball-care-seafood-mini-pack,27,否,,,,,,
29,MH-CAT-CMP-009,COMBO Present 免疫力維持 海鮮 小包｜COMBO Present Immune Support Seafood Mini Pack,COMBO Present,cats,,prod_V8crrguHp5YAXt,1,HK$32.90 · price_1U8VfkRyM6dRKLtZyi6EfUZn · 42g (3g×14包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-immune-support-seafood-mini-pack,27,否,,,,,,
30,MH-CAT-CMP-010,COMBO Present 免疫力維持 三種口味｜COMBO Present Immune Support Three-Flavour Variety Pack,COMBO Present,cats,,prod_V8cr2Q8hiWwniV,1,HK$58.90 · price_1U8VfiRyM6dRKLtZUsusaDXK · 90g (3g×30包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-immune-support-three-flavour-variety-pack,27,否,,,,,,
31,MH-CAT-CMP-011,COMBO Present 室內貓化毛 三種口味｜COMBO Present Indoor Cat Hairball Care Three-Flavour Variety Pack,COMBO Present,cats,,prod_V8croZ9K3Kppbf,1,HK$58.90 · price_1U8VfrRyM6dRKLtZUS6x0qQo · 90g (3g×30包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-indoor-cat-hairball-care-three-flavour-variety-pack,27,否,,,,,,
32,MH-CAT-CMP-012,COMBO Present 室內貓 金槍魚 小包｜COMBO Present Indoor Cat Tuna Mini Pack,COMBO Present,cats,,prod_V8crhpakrZfoXD,1,HK$32.90 · price_1U8VfqRyM6dRKLtZkB11qUqD · 42g (3g×14包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-indoor-cat-tuna-mini-pack,27,否,,,,,,
33,MH-CAT-CMP-013,COMBO Present 維護腎臟 混合肉味 小包｜COMBO Present Kidney Health Support Meat Mini Pack,COMBO Present,cats,,prod_V8crtmrNegpX6C,1,HK$32.90 · price_1U8Vg5RyM6dRKLtZqlVvcVTl · 42g (3g×14包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-kidney-health-support-meat-mini-pack,27,否,,,,,,
34,MH-CAT-CMP-014,COMBO Present 維護腎臟 混合海鮮 小包｜COMBO Present Kidney Health Support Seafood Mini Pack,COMBO Present,cats,,prod_V8crvbMiPxxJvt,1,HK$32.90 · price_1U8Vg3RyM6dRKLtZqTxXdIMe · 42g (3g×14包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-kidney-health-support-seafood-mini-pack,27,否,,,,,,
35,MH-CAT-CMP-015,COMBO Present 維護腎臟配方 三種口味｜COMBO Present Kidney Health Support Three-Flavour Variety Pack,COMBO Present,cats,,prod_V8crErEJilA30r,1,HK$58.90 · price_1U8Vg7RyM6dRKLtZaWtSwItm · 90g (3g×30包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-kidney-health-support-three-flavour-variety-pack,27,否,,,,,,
36,MH-CAT-CMP-016,COMBO Present 低脂絕育貓 混合海鮮 小包｜COMBO Present Low-Fat Neutered Cat Seafood Mini Pack,COMBO Present,cats,,prod_V8crzn01d7SXcg,1,HK$32.90 · price_1U8VfhRyM6dRKLtZQxO4fpuu · 42g (3g×14包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-low-fat-neutered-cat-seafood-mini-pack,27,否,,,,,,
37,MH-CAT-CMP-017,COMBO Present 維護泌尿 混合海鮮 小包｜COMBO Present Urinary Health Support Seafood Mini Pack,COMBO Present,cats,,prod_V8cr8kOWyjP3g1,1,HK$32.90 · price_1U8Vg0RyM6dRKLtZALUmo5Pt · 42g (3g×14包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-urinary-health-support-seafood-mini-pack,27,否,,,,,,
38,MH-CAT-CMP-018,COMBO Present 維護泌尿配方 三種口味｜COMBO Present Urinary Health Support Three-Flavour Variety Pack,COMBO Present,cats,,prod_V8crKsH08GDJxM,1,HK$58.90 · price_1U8Vg1RyM6dRKLtZnRYfKHeX · 90g (3g×30包),MofuHaven_Order_For_Boss.md,snack-order-2026::combo-present-urinary-health-support-three-flavour-variety-pack,27,否,,,,,,
39,MH-CAT-MCK-001,三文魚 17g (預定),Mamacook,cats,,prod_V8W0oLt83VbMEB,1,HK$106.90 · price_1U8VgvRyM6dRKLtZh8vgbQgO · 單一規格,pet_products_clean_retail_only.csv,三文魚 17g (預定),41,否,,,,,,
40,MH-CAT-MCK-002,圓粒雞里脊 18g (現貨 / 賞味 28.01),Mamacook,cats,,prod_V8W0n6wDbyKpya,1,HK$64.90 · price_1U8VgxRyM6dRKLtZMYRg7EId · 單一規格,pet_products_clean_retail_only.csv,圓粒雞里脊 18g (現貨 / 賞味 28.01),41,否,,,,,,
41,MH-CAT-MCK-003,扇貝 11g (現貨 / 27.01.15),Mamacook,cats,,prod_V8W0BWVdW0bKlr,1,HK$78.90 · price_1U8VgzRyM6dRKLtZMgGqC4Ob · 單一規格,pet_products_clean_retail_only.csv,扇貝 11g (現貨 / 27.01.15),41,否,,,,,,
42,MH-CAT-MCK-004,牛大腿肉 17g (現貨 / 2027.12.01),Mamacook,cats,,prod_V8W0eQFDHSCPxC,1,HK$82.90 · price_1U8VhERyM6dRKLtZRJUYIode · 單一規格,pet_products_clean_retail_only.csv,牛大腿肉 17g (現貨 / 2027.12.01),41,否,,,,,,
43,MH-CAT-MCK-005,胡瓜魚凍干 10g (預定),Mamacook,cats,,prod_V8W0xHzc6tqf3B,1,HK$80.90 · price_1U8VhORyM6dRKLtZaHHmw4vx · 單一規格,pet_products_clean_retail_only.csv,胡瓜魚凍干 10g (預定),41,否,,,,,,
44,MH-CAT-MCK-006,虹鱒魚 15g (現貨 / 賞味 27.5),Mamacook,cats,,prod_V8W0fChA9h4VNq,1,HK$80.90 · price_1U8VhQRyM6dRKLtZcmZ9StPG · 單一規格,pet_products_clean_retail_only.csv,虹鱒魚 15g (現貨 / 賞味 27.5),41,否,,,,,,
45,MH-CAT-MCK-007,豬大腿肉 20g (預定),Mamacook,cats,,prod_V8W0DDhtV271xl,1,HK$73.90 · price_1U8VhSRyM6dRKLtZMdg6lgBN · 單一規格,pet_products_clean_retail_only.csv,豬大腿肉 20g (預定),41,否,,,,,,
46,MH-CAT-MCK-008,豬心 25g (預定 (缺貨)),Mamacook,cats,,prod_V8W0LKmYo2bfxf,1,HK$75.90 · price_1U8VhTRyM6dRKLtZCXZk7rs1 · 單一規格,pet_products_clean_retail_only.csv,豬心 25g (預定 (缺貨)),41,否,,,,,,
47,MH-CAT-MCK-009,金槍魚 14g (預定),Mamacook,cats,,prod_V8W0mdB77ZJc5M,1,HK$80.90 · price_1U8VhVRyM6dRKLtZ2SNCvfDD · 單一規格,pet_products_clean_retail_only.csv,金槍魚 14g (預定),41,否,,,,,,
48,MH-CAT-MCK-010,銀魚 10g (預定),Mamacook,cats,,prod_V8W073h3MHqGhr,1,HK$78.90 · price_1U8VhXRyM6dRKLtZpnl8JDZN · 單一規格,pet_products_clean_retail_only.csv,銀魚 10g (預定),41,否,,,,,,
49,MH-CAT-MCK-011,雞胸肉 150g (現貨 / 賞味 27.10),Mamacook,cats,,prod_V8VzG9Cs8B2Rjb,1,HK$262.90 · price_1U8VhhRyM6dRKLtZreAjaaqG · 單一規格,pet_products_clean_retail_only.csv,雞胸肉 150g (現貨 / 賞味 27.10),41,否,,,,,,
50,MH-CAT-MCK-012,雞胸肉 30g (現貨 / 賞味 28.01),Mamacook,cats,,prod_V8VzTooOH64y65,1,HK$77.90 · price_1U8VhiRyM6dRKLtZcE0BERx5 · 單一規格,pet_products_clean_retail_only.csv,雞胸肉 30g (現貨 / 賞味 28.01),41,否,,,,,,
51,MH-CAT-MCK-013,雞胸肉碎沫凍干粉拌飯 (現貨 / 2027.11.17),Mamacook,cats,,prod_V8W07sgetW5UqK,1,HK$75.90 · price_1U8VhkRyM6dRKLtZzV6cvj1O · 單一規格,pet_products_clean_retail_only.csv,雞胸肉碎沫凍干粉拌飯 (現貨 / 2027.11.17),41,否,,,,,,
52,MH-CAT-MCK-014,雞胸肉雞肝凍干 120g (現貨 / 27.07),Mamacook,cats,,prod_V8W0oMeIOyFLhp,1,HK$250.90 · price_1U8Ey0RyM6dRKLtZea02ekZN · 單一規格,pet_products_clean_retail_only.csv,雞胸肉雞肝凍干 120g (現貨 / 27.07),41,否,,,,,,
53,MH-CAT-MCK-015,雞胸肉雞肝凍干 18g (預定),Mamacook,cats,,prod_V8VzYLI6mgAR3P,1,HK$62.90 · price_1U8VhmRyM6dRKLtZQLMUjgZb · 單一規格,pet_products_clean_retail_only.csv,雞胸肉雞肝凍干 18g (預定),41,否,,,,,,
54,MH-CAT-MCK-016,雞胸肉雞肫凍干 120g (現貨 / 2027.04.03),Mamacook,cats,,prod_V8W06fowHsMOSF,1,HK$250.90 · price_1U8Ey3RyM6dRKLtZ4nscQPyL · 單一規格,pet_products_clean_retail_only.csv,雞胸肉雞肫凍干 120g (現貨 / 2027.04.03),41,否,,,,,,
55,MH-CAT-MCK-017,雞胸肉雞肫凍干 18g (現貨 / 2027.04.25),Mamacook,cats,,prod_V8W072ieTWyOZ7,1,HK$62.90 · price_1U8VhoRyM6dRKLtZEPUbvHtX · 單一規格,pet_products_clean_retail_only.csv,雞胸肉雞肫凍干 18g (現貨 / 2027.04.25),45,否,,,,,,
56,MH-CAT-MCK-018,雞里脊 150g (現貨 / 2027.11.30),Mamacook,cats,,prod_V8Vz4r6kx51OK2,1,HK$262.90 · price_1U8VhrRyM6dRKLtZCmbpVwO6 · 單一規格,pet_products_clean_retail_only.csv,雞里脊 150g (現貨 / 2027.11.30),41,否,,,,,,
57,MH-CAT-MCK-019,雞里脊 30g (預定),Mamacook,cats,,prod_V8VzICRXhFqVtH,1,HK$77.90 · price_1U8VhsRyM6dRKLtZxrrjuIFL · 單一規格,pet_products_clean_retail_only.csv,雞里脊 30g (預定),41,否,,,,,,
58,MH-CAT-MCK-020,雞里脊碎沫凍干粉拌飯 (預定),Mamacook,cats,,prod_V8W0OgEY0HBtlD,1,HK$90.90 · price_1U8VhuRyM6dRKLtZgTSXTyfh · 單一規格,pet_products_clean_retail_only.csv,雞里脊碎沫凍干粉拌飯 (預定),41,否,,,,,,
59,MH-DOG-DBF-001,d.b.f 雞肉軟骨｜d.b.f Chicken Breast & Cartilage Dog Can 85g,d.b.f,dogs,DBF-01,prod_V8e1g0toA5TEk7,1,HK$27.90 · price_1U8VghRyM6dRKLtZxGwSE72f · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-01,31,否,,,,,,
60,MH-DOG-DBF-002,d.b.f 雞胸肉&奶酪｜d.b.f Chicken Breast & Cheese Dog Can 85g,d.b.f,dogs,DBF-02,prod_V8e1ExxiCmg67D,1,HK$27.90 · price_1U8VgkRyM6dRKLtZ3NUks8VZ · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-02,31,否,,,,,,
61,MH-DOG-DBF-003,d.b.f 雞胸肉濃湯｜d.b.f Chicken Breast in Soup Dog Can 85g,d.b.f,dogs,DBF-03,prod_V8e1MyE7x9BZDl,1,HK$27.90 · price_1U8VglRyM6dRKLtZJSyEL0xC · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-03,31,否,,,,,,
62,MH-DOG-DBF-004,d.b.f 雞肉&芝士｜d.b.f Chicken & Cheese Adult Dog Can 85g,d.b.f,dogs,DBF-04,prod_V8e1qzONSyt8ru,1,HK$27.90 · price_1U8VgaRyM6dRKLtZ506eApli · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-04,31,否,,,,,,
63,MH-DOG-DBF-005,d.b.f 雞肉&蔬菜｜d.b.f Chicken & Vegetables Adult Dog Can 85g,d.b.f,dogs,DBF-05,prod_V8e1XhfhroMZtV,1,HK$27.90 · price_1U8VgbRyM6dRKLtZlxvYMDLR · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-05,31,否,,,,,,
64,MH-DOG-DBF-006,d.b.f 牛肉&軟骨｜d.b.f Beef & Cartilage Dog Can 85g,d.b.f,dogs,DBF-06,prod_V8e1nNRuozpeTU,1,HK$27.90 · price_1U8VgSRyM6dRKLtZs3ZbrVza · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-06,31,否,,,,,,
65,MH-DOG-DBF-007,d.b.f 牛肉糜｜d.b.f Beef Mince Dog Can 65g,d.b.f,dogs,DBF-07,prod_V8e1Jgdnr9v8HM,1,HK$26.90 · price_1U8VgVRyM6dRKLtZ7gyPlKxI · 65g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-07,31,否,,,,,,
66,MH-DOG-DBF-008,d.b.f 雞肉&紅薯小粒｜d.b.f Chicken & Sweet Potato Adult Dog Can 85g,d.b.f,dogs,DBF-08,prod_V8e143elQIOfMM,1,HK$27.90 · price_1U8VgYRyM6dRKLtZxDR4pp7h · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-08,31,否,,,,,,
67,MH-DOG-DBF-009,d.b.f 雞肉雞胗濃湯｜d.b.f Chicken Breast & Gizzard Soup Dog Can 85g,d.b.f,dogs,DBF-09,prod_V8e1Y4NZgoH3mG,1,HK$27.90 · price_1U8VgiRyM6dRKLtZPBByowjt · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-09,31,否,,,,,,
68,MH-DOG-DBF-010,d.b.f 雞肉糜｜d.b.f Chicken Mince Dog Can 65g,d.b.f,dogs,DBF-10,prod_V8e1qdj8efQTs9,1,HK$22.90 · price_1U8MjuRyM6dRKLtZgrVX9mqI · 65g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-10,31,否,,,,,,
69,MH-DOG-DBF-011,d.b.f 成犬之食事 雞肉軟骨｜d.b.f Adult Dog Meal Chicken & Cartilage 85g,d.b.f,dogs,DBF-11,prod_V8e1EgYIqCWkcb,1,HK$27.90 · price_1U8VgORyM6dRKLtZZ3aglbbL · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-11,30,否,,,,,,
70,MH-DOG-DBF-012,d.b.f 成犬之食事 雞肉紅薯｜d.b.f Adult Dog Meal Chicken & Sweet Potato 85g,d.b.f,dogs,DBF-12,prod_V8e2wynYC6XsBo,1,HK$27.90 · price_1U8VgLRyM6dRKLtZAGauubws · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-12,30,否,,,,,,
71,MH-DOG-DBF-013,d.b.f 成犬之食事 雞肉蔬菜｜d.b.f Adult Dog Meal Chicken & Vegetables 85g,d.b.f,dogs,DBF-13,prod_V8e2eck5fdwDtP,1,HK$27.90 · price_1U8VgNRyM6dRKLtZQs8turyO · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-13,30,否,,,,,,
72,MH-DOG-DBF-014,d.b.f 高齡犬之食事 雞肉紅薯 (7歲及以上)｜d.b.f Senior Dog Meal Chicken & Sweet Potato 85g,d.b.f,dogs,DBF-14,prod_V8e2hvyqfhk59B,1,HK$27.90 · price_1U8VgrRyM6dRKLtZQQyAMw9r · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-14,34,否,,,,,,
73,MH-DOG-DBF-015,d.b.f 牛肉紅薯｜d.b.f Beef & Sweet Potato Dog Can 85g,d.b.f,dogs,DBF-15,prod_V8e2hyOUdfOwnM,1,HK$31.90 · price_1U8VgXRyM6dRKLtZ1809VYTH · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-15,30,否,,,,,,
74,MH-DOG-DBF-016,d.b.f 高齡犬之食事 雞肉 (7歲及以上)｜d.b.f Senior Dog Meal Chicken 85g,d.b.f,dogs,DBF-16,prod_V8e22XlcOMIRus,1,HK$27.90 · price_1U8VgpRyM6dRKLtZtyzfIREm · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-16,30,否,,,,,,
75,MH-DOG-DBF-017,d.b.f 高齡犬之食事 雞肉蔬菜 (7歲及以上)｜d.b.f Senior Dog Meal Chicken & Vegetables 85g,d.b.f,dogs,DBF-17,prod_V8e2oW8u6WCtg5,1,HK$27.90 · price_1U8VgsRyM6dRKLtZZdvsRHV7 · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-17,30,否,,,,,,
76,MH-DOG-DBF-018,d.b.f 成犬之食事 雞肉｜d.b.f Adult Dog Meal Chicken 85g,d.b.f,dogs,DBF-18,prod_V8e2MnRWL8I3ON,1,HK$31.90 · price_1U8VgQRyM6dRKLtZoohhjjug · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-18,30,否,,,,,,
