sync_status,blocking_reasons,source_file,supplier_sku,mofu_sku,product_name,product_id,cost_cny,target_margin,fx_cny_to_hkd,ship_to_hk_hkd,rounding,product_metadata_before,product_metadata_after_preview,proposed_product_metadata_additions,product_metadata_conflicts,price_id,price_current_hkd,price_variant_label_zh,price_metadata_before,price_metadata_after_preview,proposed_price_metadata_additions,price_metadata_conflicts
ready_for_future_apply,,batch24_product_mapping.json,B24-11,MH-CAT-COMBO-002,COMBO 貓咪奢華美食拼配鮭魚脆片鰹魚節乾糧 700g｜COMBO Luxury Gourmet Blend with Salmon Chips & Bonito Flakes Dry Cat Food 700g,prod_V8lAeH2hqPlna6,89.6,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8Te8RyM6dRKLtZf1Zb7BlY,189.90,700g（140g×5）,7,8,"{""cost_cny"":""89.6""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-12,MH-CAT-COMBO-003,COMBO 體重關注貓用鮪魚鰹魚節乾糧 600g｜COMBO Weight-Concern Cat Tuna Dry Food with Bonito Flakes 600g,prod_V8lAWevxk3Za0C,89.6,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8Te9RyM6dRKLtZbFSz0rsZ,189.90,600g（120g×5）,7,8,"{""cost_cny"":""89.6""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-13,MH-DOG-COMBO-006,COMBO Pure 日本產雞肉蔬菜狗狗乾糧 600g｜COMBO Pure Japanese Chicken & Vegetable Dry Dog Food 600g,prod_V8lA8TrpHKZ0AE,87.0,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TeARyM6dRKLtZQu5zOWNW,189.90,600g,7,8,"{""cost_cny"":""87.0""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-14,MH-DOG-COMBO-007,COMBO Pure 蔬菜嚴選芝士狗狗乾糧 600g｜COMBO Pure Vegetable & Selected Cheese Dry Dog Food 600g,prod_V8lAFkM1R1Q06Q,87.0,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TeBRyM6dRKLtZzFpXrLkJ,189.90,600g（300g×2）,7,8,"{""cost_cny"":""87.0""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-15,MH-DOG-COMBO-008,COMBO Pure 嚴選芝士日本產雞肉狗狗乾糧 600g｜COMBO Pure Selected Cheese & Japanese Chicken Dry Dog Food 600g,prod_V8lA3mO6fUVnGr,87.0,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TeCRyM6dRKLtZj8yHgAgF,189.90,600g,7,8,"{""cost_cny"":""87.0""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-16,MH-DOG-COMBO-009,COMBO Pure 超小粒日本產雞肉蔬菜狗狗乾糧 600g｜COMBO Pure Extra-Small Kibble Japanese Chicken & Vegetable Dry Dog Food 600g,prod_V8lArvqiVc3AMr,87.0,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TeDRyM6dRKLtZlJaNJ6sH,189.90,600g（300g×2）,7,8,"{""cost_cny"":""87.0""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-17,MH-DOG-COMBO-010,COMBO Pure 低脂日本產雞肉蔬菜狗狗乾糧 600g｜COMBO Pure Low-Fat Japanese Chicken & Vegetable Dry Dog Food 600g,prod_V8lAGBIlndcl9U,87.0,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TeERyM6dRKLtZkFfIYDtC,189.90,600g,7,8,"{""cost_cny"":""87.0""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-18,MH-DOG-COMBO-011,COMBO Pure 凍乾配料日本產雞肉蔬菜狗狗乾糧 540g｜COMBO Pure Freeze-Dried Topping Japanese Chicken & Vegetable Dry Dog Food 540g,prod_V8lAaOLN6jDE2s,87.0,0.45,1.1654,0.00,upward .90,30,34,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TeFRyM6dRKLtZuol9PSsc,189.90,540g,7,8,"{""cost_cny"":""87.0""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-19,MH-DOG-COMBO-012,COMBO Pure 魚肉米狗狗乾糧 540g｜COMBO Pure Fish & Rice Dry Dog Food 540g,prod_V8lA3QuLuCwOig,87.0,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TeHRyM6dRKLtZVgeSBzyq,189.90,540g,7,8,"{""cost_cny"":""87.0""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-20,MH-CAT-GNSP-001,銀之匙 濃湯仕立鮪魚貓罐頭 70g｜Gin no Spoon Thick Gravy Tuna Cat Can 70g,prod_V8lAUga8Mwc3d0,9.3,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TeIRyM6dRKLtZfLkTpmot,19.90,70g,7,8,"{""cost_cny"":""9.3""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-21,MH-CAT-GNSP-002,"銀之匙 鮪魚鰹魚雞胸肉貓罐頭 70g｜Gin no Spoon Tuna, Bonito & Chicken Breast Cat Can 70g",prod_V8lAjMRJn8PScz,9.3,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TeJRyM6dRKLtZZNQsVoYK,19.90,70g,7,8,"{""cost_cny"":""9.3""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-22,MH-CAT-GNSP-003,"銀之匙 濃湯仕立鮪魚鰹魚雞胸肉貓罐頭 70g｜Gin no Spoon Thick Gravy Tuna, Bonito & Chicken Breast Cat Can 70g",prod_V8lATH0SDiLKBx,9.3,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TeKRyM6dRKLtZ06iNBorq,19.90,70g,7,8,"{""cost_cny"":""9.3""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-23,MH-CAT-GNSP-004,"銀之匙 魚肉雞胸肉吻仔魚貓罐頭 70g｜Gin no Spoon Fish, Chicken Breast & Shirasu Cat Can 70g",prod_V8lAGdiamaGSwC,9.3,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TeLRyM6dRKLtZR3jNQ3eA,19.90,70g,7,8,"{""cost_cny"":""9.3""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-24,MH-CAT-GNSP-005,"銀之匙 魚肉雞胸肉鰹魚節貓罐頭 70g｜Gin no Spoon Fish, Chicken Breast & Bonito Flakes Cat Can 70g",prod_V8lATUvYyTfiyk,9.3,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TeMRyM6dRKLtZ8duuCeG8,19.90,70g,7,8,"{""cost_cny"":""9.3""}",{}
ready_for_future_apply,,combo_dogfood_5_import_mapping.json,COMBO-DOG-720-01,MH-DOG-COMBO-014,"COMBO 牛肉小魚乾芝士蔬菜狗狗乾糧 720g｜COMBO Beef, Dried Small Fish, Cheese & Vegetable Blend Dry Dog Food 720g",prod_V8kNSV91CKgxb8,114,0.45,1.1654,0.00,upward .90,28,32,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8SsmRyM6dRKLtZ3iaLqEV5,249.90,720g（4 小包裝）,7,8,"{""cost_cny"":""114""}",{}
ready_for_future_apply,,combo_dogfood_5_import_mapping.json,COMBO-DOG-720-02,MH-DOG-COMBO-015,COMBO 馬蘇里拉芝士角切狗狗乾糧 720g｜COMBO Mozzarella Cheese Cubes Dry Dog Food 720g,prod_V8kNDHKt8kCFkT,114,0.45,1.1654,0.00,upward .90,28,32,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8SsoRyM6dRKLtZv82WvY8y,249.90,720g（4 小包裝）,7,8,"{""cost_cny"":""114""}",{}
ready_for_future_apply,,combo_dogfood_5_import_mapping.json,COMBO-DOG-720-03,MH-DOG-COMBO-013,COMBO 捲心菜牛肉狗狗乾糧 720g｜COMBO Cabbage & Beef Dry Dog Food 720g,prod_V8kNDRrV7QQWc8,114,0.45,1.1654,0.00,upward .90,28,32,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8SspRyM6dRKLtZdI80zla7,249.90,720g（4 小包裝）,7,8,"{""cost_cny"":""114""}",{}
ready_for_future_apply,,combo_dogfood_5_import_mapping.json,COMBO-DOG-720-04,MH-DOG-COMBO-016,COMBO 低脂小魚乾雞肉狗狗乾糧 720g｜COMBO Low-Fat Dried Small Fish & Chicken Dry Dog Food 720g,prod_V8kNXGrzdUVGWS,114,0.45,1.1654,0.00,upward .90,28,32,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8SsqRyM6dRKLtZP2yQef0B,249.90,720g（4 小包裝）,7,8,"{""cost_cny"":""114""}",{}
ready_for_future_apply,,combo_dogfood_5_import_mapping.json,COMBO-DOG-720-05,MH-DOG-COMBO-017,COMBO 低脂 7歲以上狗狗乾糧 720g｜COMBO Low-Fat Senior Dry Dog Food 720g,prod_V8kNg5nRdCoND1,114,0.45,1.1654,0.00,upward .90,28,32,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8SsrRyM6dRKLtZoKEOSOWV,249.90,720g（4 小包裝；7 歲以上）,7,8,"{""cost_cny"":""114""}",{}
