csv_row,product_id,mofu_sku,product_name,source_csv_price_id,result_price_id,csv_cost_cny,stripe_cost_cny,csv_proposed_hkd,stripe_hkd,write_action,source_inactive_when_replaced,default_price_correct,implied_baseline_removed,verified
21,prod_V90yRB01IgVrDV,MH-CAT-CIAO-020,CIAO｜11歲以上鮪魚白肉貓罐頭｜單罐,price_1U8iwqRyM6dRKLtZTZ0TAzAG,price_1U92bORyM6dRKLtZnmTs7R4q,15.8,15.8,33.9,33.90,replacement_price_created,True,True,True,True
22,prod_V90yoyex98iTAW,MH-CAT-CIAO-021,CIAO｜14歲以上鮪魚白肉小銀魚貓罐頭｜單罐,price_1U8iwrRyM6dRKLtZ3rlOZMIV,price_1U92bPRyM6dRKLtZqPKnP8c4,15.8,15.8,33.9,33.90,replacement_price_created,True,True,True,True
23,prod_V90yC8a54bE0EL,MH-CAT-CIAO-022,CIAO｜14歲以上鰹魚柴魚片貓罐頭｜單罐,price_1U8iwsRyM6dRKLtZ9WdAiJhl,price_1U92bRRyM6dRKLtZmq5XH6Jw,15.8,15.8,33.9,33.90,replacement_price_created,True,True,True,True
24,prod_V90yhIRALdzZyY,MH-CAT-CIAO-023,Inaba かつまぐろ｜鮪魚雞肉貓罐頭｜85g／單罐,price_1U8iwtRyM6dRKLtZyY5icJzG,price_1U8iwtRyM6dRKLtZyY5icJzG,6.81,6.81,14.9,14.90,updated_metadata_only,True,True,True,True
25,prod_V90yhuy2ZgCVZK,MH-CAT-CIAO-024,Inaba かつまぐろ｜鮪魚貓罐頭｜85g／單罐,price_1U8iwuRyM6dRKLtZD1NxsXXw,price_1U8iwuRyM6dRKLtZD1NxsXXw,6.81,6.81,14.9,14.90,updated_metadata_only,True,True,True,True
26,prod_V90yWS8dLSjcn2,MH-CAT-CIAO-025,Inaba かつまぐろ｜鮪魚三文魚貓罐頭｜85g／單罐,price_1U8iwwRyM6dRKLtZ4TVBysAG,price_1U8iwwRyM6dRKLtZ4TVBysAG,6.81,6.81,14.9,14.90,updated_metadata_only,True,True,True,True
27,prod_V90yAWxmanLYZk,MH-CAT-CIAO-026,Inaba かつまぐろ｜鮪魚小銀魚貓罐頭｜85g／單罐,price_1U8iwxRyM6dRKLtZccf5xxZZ,price_1U8iwxRyM6dRKLtZccf5xxZZ,6.81,6.81,14.9,14.90,updated_metadata_only,True,True,True,True
28,prod_V90yCfcKRyo9ou,MH-CAT-CIAO-027,Inaba かつまぐろ｜多口味隨機混拼貓罐頭｜85g × 6罐,price_1U8iwyRyM6dRKLtZS9C8A5Eu,price_1U92bVRyM6dRKLtZK8PsTOVw,29.42,29.42,62.9,62.90,replacement_price_created,True,True,True,True
29,prod_V90yWGm3mtcreN,MH-CAT-CIAO-028,Inaba かつまぐろ｜高齡貓鮪魚貓罐頭｜85g／單罐,price_1U8iwzRyM6dRKLtZ5uUc9AxZ,price_1U8iwzRyM6dRKLtZ5uUc9AxZ,6.81,6.81,14.9,14.90,updated_metadata_only,True,True,True,True
30,prod_V8uJcEJtSEmb69,MH-CAT-GNSP-006,銀之匙 三ツ星グルメ 香酥魚香 魚味綜合乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Assorted Fish Dry Cat Food 200g,price_1U8cUURyM6dRKLtZjiy5wjhq,price_1U92bXRyM6dRKLtZ0YpnimrY,44.8,44.8,95.9,95.90,replacement_price_created,True,True,True,True
31,prod_V8uJI32Jxh5dCc,MH-CAT-GNSP-007,銀之匙 三ツ星グルメ 香酥魚香 魚肉雞肉四拼乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Fish & Chicken Four-Recipe Dry Cat Food 200g,price_1U8cUPRyM6dRKLtZO8S4Hj2n,price_1U92bZRyM6dRKLtZZZkMBqWO,44.8,44.8,95.9,95.90,replacement_price_created,True,True,True,True
32,prod_V8uILuFno1z4MZ,MH-CAT-GNSP-008,銀之匙 三ツ星グルメ 香酥魚香 腸胃健康照護乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Fish Gut-Health Care Dry Cat Food 200g,price_1U8cUMRyM6dRKLtZiqoZhzs8,price_1U92baRyM6dRKLtZrrrzvp6O,44.8,44.8,95.9,95.90,replacement_price_created,True,True,True,True
33,prod_V8uJPueROjgX6L,MH-CAT-GNSP-009,銀之匙 三ツ星グルメ 香酥魚香 毛球護理乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Fish Hairball Care Dry Cat Food 200g,price_1U8cURRyM6dRKLtZxOISi7XP,price_1U92bcRyM6dRKLtZJdQTiNcp,44.8,44.8,95.9,95.90,replacement_price_created,True,True,True,True
34,prod_V8uJVy7nhLvdrI,MH-CAT-GNSP-010,"銀之匙 三ツ星グルメ 香酥魚香 金槍魚鯛魚鰹魚扇貝乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Tuna, Sea Bream, Bonito & Scallop Dry Cat Food 200g",price_1U8cUXRyM6dRKLtZaTGFfSor,price_1U92bdRyM6dRKLtZQ9YCubz3,44.8,44.8,95.9,95.90,replacement_price_created,True,True,True,True
35,prod_V8uIfmE32YGKQz,MH-CAT-GNSP-011,銀之匙 三ツ星グルメ 夾心奶油 魚味綜合乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Assorted Fish Dry Cat Food 180g,price_1U8cUHRyM6dRKLtZILTR8TCU,price_1U92beRyM6dRKLtZmG3IIc0z,44.8,44.8,95.9,95.90,replacement_price_created,True,True,True,True
36,prod_V8uIgedRHwtgJJ,MH-CAT-GNSP-012,銀之匙 三ツ星グルメ 夾心奶油 腸胃健康魚味三拼乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Gut-Health Fish Three-Recipe Dry Cat Food 180g,price_1U8cUJRyM6dRKLtZoV9l2W9Y,price_1U92bgRyM6dRKLtZLsvvmfwp,44.8,44.8,95.9,95.90,replacement_price_created,True,True,True,True
37,prod_V8uIc8IHCyEuCW,MH-CAT-GNSP-013,銀之匙 三ツ星グルメ 夾心奶油 金槍魚鰹魚味乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & Bonito Dry Cat Food 180g,price_1U8cUCRyM6dRKLtZZdqgSvlS,price_1U92biRyM6dRKLtZtuNG6kjP,44.8,44.8,95.9,95.90,replacement_price_created,True,True,True,True
38,prod_V8uID4s03TNUrL,MH-CAT-GNSP-014,銀之匙 三ツ星グルメ 夾心奶油 金槍魚鯛魚味乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & Sea Bream Dry Cat Food 180g,price_1U8cUERyM6dRKLtZmdIE2erH,price_1U92bjRyM6dRKLtZoIWRW42a,44.8,44.8,95.9,95.90,replacement_price_created,True,True,True,True
39,prod_V8vr5nCW67gu8X,MH-CAT-GNSP-015,銀之匙 三ツ星グルメ 魚肉奶油夾心 鮪魚及白蝦味乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & White Shrimp Dry Cat Food 180g,price_1U8e0ARyM6dRKLtZWOXn9WYV,price_1U92blRyM6dRKLtZ6lw9V0Mm,55.0,55.0,116.9,116.90,replacement_price_created,True,True,True,True
40,prod_V8th4gMOUDUrzu,MH-CAT-GNSP-016,銀之匙 三ツ星グルメ 夾心奶油 魚肉雞里脊三拼乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Fish & Chicken Tender Three-Recipe Dry Cat Food 180g,price_1U8btqRyM6dRKLtZ3JpWeJNI,price_1U92bnRyM6dRKLtZ11iGKGVe,46.8,46.8,99.9,99.90,replacement_price_created,True,True,True,True
41,prod_V8thb2VVnmHjCY,MH-CAT-GNSP-017,銀之匙 三ツ星グルメ 夾心奶油 金槍魚鰹魚毛球護理乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & Bonito Hairball Care Dry Cat Food 180g,price_1U8bttRyM6dRKLtZYVjv60by,price_1U92boRyM6dRKLtZseQYaopY,46.8,46.8,99.9,99.90,replacement_price_created,True,True,True,True
42,prod_V8th51dTMblovb,MH-CAT-GNSP-018,銀之匙 三ツ星グルメ 夾心奶油 金槍魚雞里脊味乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & Chicken Tender Dry Cat Food 180g,price_1U8btoRyM6dRKLtZuVNr212k,price_1U92bpRyM6dRKLtZpnMkY8wu,46.8,46.8,99.9,99.90,replacement_price_created,True,True,True,True
43,prod_V8thjTAXBn4Lnx,MH-CAT-GNSP-019,銀之匙 三ツ星グルメ 香酥魚香毛球護理乾糧 240g｜Gin no Spoon Mitsuboshi Gourmet Fish Recipe Hairball Care Dry Cat Food 240g,price_1U8btlRyM6dRKLtZG99b8TZR,price_1U92brRyM6dRKLtZb4fhlQNf,44.8,44.8,95.9,95.90,replacement_price_created,True,True,True,True
44,prod_V8thBqcqHiv3cZ,MH-CAT-GNSP-020,銀之匙 三ツ星グルメ 幼貓魚味加牛奶乾糧 240g｜Gin no Spoon Mitsuboshi Gourmet Kitten Fish Recipe with Milk Dry Cat Food 240g,price_1U8bu8RyM6dRKLtZrtZ6IOrx,price_1U92bsRyM6dRKLtZXuvhCOiy,46.8,46.8,99.9,99.90,replacement_price_created,True,True,True,True
45,prod_V8thwhOf6ahDTN,MH-CAT-GNSP-021,銀之匙 三ツ星グルメ 10歲起腎臟健康維護魚味四拼乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet 10+ Kidney Health Maintenance Fish Four-Recipe Dry Cat Food 200g,price_1U8bu5RyM6dRKLtZGPNwKLAo,price_1U92buRyM6dRKLtZvALP7vFh,46.8,46.8,99.9,99.90,replacement_price_created,True,True,True,True
46,prod_V8thRjwLfHWe9X,MH-CAT-GNSP-022,銀之匙 三ツ星グルメ 鮮旨香 魚肉雞里脊三拼乾糧 160g｜Gin no Spoon Mitsuboshi Gourmet Shimi-Uma Fish & Chicken Tender Three-Recipe Dry Cat Food 160g,price_1U8btvRyM6dRKLtZPuQqw0hP,price_1U92bvRyM6dRKLtZ9opkKa5A,46.8,46.8,99.9,99.90,replacement_price_created,True,True,True,True
47,prod_V8thsQJq4RYszQ,MH-CAT-GNSP-023,"銀之匙 三ツ星グルメ 鮮旨香 金槍魚雞里脊鰹魚乾糧 192g｜Gin no Spoon Mitsuboshi Gourmet Shimi-Uma Tuna, Chicken Tender & Bonito Dry Cat Food 192g",price_1U8btyRyM6dRKLtZ2aDVvnPF,price_1U92bxRyM6dRKLtZnKbh5677,46.8,46.8,99.9,99.90,replacement_price_created,True,True,True,True
48,prod_V8thk9qKECj0in,MH-CAT-GNSP-024,"銀之匙 三ツ星グルメ 鮮旨香 金槍魚鯛魚鰹魚乾糧 192g｜Gin no Spoon Mitsuboshi Gourmet Shimi-Uma Tuna, Sea Bream & Bonito Dry Cat Food 192g",price_1U8bu0RyM6dRKLtZKGEvnAcj,price_1U92byRyM6dRKLtZpPAsVaUD,46.8,46.8,99.9,99.90,replacement_price_created,True,True,True,True
49,prod_V8thPo6RjbpnwO,MH-CAT-GNSP-025,銀之匙 三ツ星グルメ 餐後吐毛輕減及毛球護理魚味乾糧 192g｜Gin no Spoon Mitsuboshi Gourmet Fish Recipe Dry Cat Food for Reduced Post-Meal Vomiting & Hairball Care 192g,price_1U8bu3RyM6dRKLtZLjAK97QM,price_1U92bzRyM6dRKLtZFdLPAMbX,46.8,46.8,99.9,99.90,replacement_price_created,True,True,True,True
50,prod_V8xXn4fyGQ2Iwg,MH-CAT-MONP-001,Mon Petit Crispy Kiss 鰹魚及小魚高湯味貓咪小食 30g｜Mon Petit Crispy Kiss Bonito and Small Fish Broth Cat Treats 30g,price_1U8fcPRyM6dRKLtZkmzKQFaa,price_1U92c1RyM6dRKLtZXiEdYZal,13.9,13.9,29.9,29.90,replacement_price_created,True,True,True,True
51,prod_V8xXSx8MWb3Y8D,MH-CAT-MONP-002,Mon Petit Crispy Kiss 芝士及雞肉味貓咪小食 30g｜Mon Petit Crispy Kiss Cheese and Chicken Flavour Cat Treats 30g,price_1U8fcGRyM6dRKLtZbNYK0jlM,price_1U92c2RyM6dRKLtZCsWLVG3f,13.9,13.9,29.9,29.90,replacement_price_created,True,True,True,True
52,prod_V8xXLMbKeB2tb9,MH-CAT-MONP-003,Mon Petit Crispy Kiss 鮮魚雞肉貓薄荷味貓咪小食 24g｜Mon Petit Crispy Kiss Fish and Chicken with Catnip Cat Treats 24g,price_1U8fcDRyM6dRKLtZDd0FVQMW,price_1U92c4RyM6dRKLtZt9ElROTi,13.9,13.9,29.9,29.90,replacement_price_created,True,True,True,True
53,prod_V8xXYKr9wN7Aee,MH-CAT-MONP-004,Mon Petit Crispy Kiss 鮮魚精選貓咪小食 30g｜Mon Petit Crispy Kiss Fish Select Cat Treats 30g,price_1U8fcJRyM6dRKLtZd8RKpg9m,price_1U92c5RyM6dRKLtZixmJDKPw,13.9,13.9,29.9,29.90,replacement_price_created,True,True,True,True
54,prod_V8xX5m49XGPiSw,MH-CAT-MONP-005,Mon Petit Crispy Kiss 奢華雞肉味貓咪小食 24g｜Mon Petit Crispy Kiss Luxury Chicken Flavour Cat Treats 24g,price_1U8fcFRyM6dRKLtZeD9cGjwS,price_1U92c7RyM6dRKLtZUdFIxUm1,13.9,13.9,29.9,29.90,replacement_price_created,True,True,True,True
55,prod_V8xXBfCtwPwxjK,MH-CAT-MONP-006,Mon Petit Crispy Kiss 奢華鮮魚味貓咪小食 24g｜Mon Petit Crispy Kiss Luxury Fish Flavour Cat Treats 24g,price_1U8fcERyM6dRKLtZ463dtKpL,price_1U92c8RyM6dRKLtZIPKJhmEZ,13.9,13.9,29.9,29.90,replacement_price_created,True,True,True,True
56,prod_V8xXV7x4AmWu89,MH-CAT-MONP-007,Mon Petit Crispy Kiss 奢華三文魚味貓咪小食 24g｜Mon Petit Crispy Kiss Luxury Salmon Flavour Cat Treats 24g,price_1U8fcRRyM6dRKLtZMvlsOquW,price_1U92cARyM6dRKLtZ42tDMFOl,13.9,13.9,29.9,29.90,replacement_price_created,True,True,True,True
57,prod_V8xXRC7As2ra5W,MH-CAT-MONP-008,Mon Petit Crispy Kiss 肉類精選綜合包貓咪小食 144g｜Mon Petit Crispy Kiss Meat Selection Variety Pack Cat Treats 144g,price_1U8fcHRyM6dRKLtZ0WA7KbpT,price_1U92cBRyM6dRKLtZuD5lTlz3,59.9,59.9,127.9,127.90,replacement_price_created,True,True,True,True
58,prod_V8xXMB8UApWAYP,MH-CAT-MONP-009,"Mon Petit Crispy Kiss 三文魚、鰹魚及小魚味貓咪小食 30g｜Mon Petit Crispy Kiss Salmon, Bonito and Small Fish Cat Treats 30g",price_1U8fcQRyM6dRKLtZAt0dJH05,price_1U92cDRyM6dRKLtZnmG0YS73,13.9,13.9,29.9,29.90,replacement_price_created,True,True,True,True
59,prod_V8xXmrlDUto85d,MH-CAT-MONP-010,Mon Petit Crispy Kiss 海鮮味貓咪小食 30g｜Mon Petit Crispy Kiss Seafood Flavour Cat Treats 30g,price_1U8fcKRyM6dRKLtZsJdoHEu4,price_1U92cERyM6dRKLtZFqsEi8P0,13.9,13.9,29.9,29.90,replacement_price_created,True,True,True,True
60,prod_V8xX3586zZhcZt,MH-CAT-MONP-011,"Mon Petit Crispy Kiss 海鮮、芝士及雞肉燒烤味綜合包貓咪小食 144g｜Mon Petit Crispy Kiss Seafood, Cheese and Chicken Grill Variety Pack Cat Treats 144g",price_1U8fcMRyM6dRKLtZa6kX1FcS,price_1U92cGRyM6dRKLtZ4Wu1Dgnx,59.9,59.9,127.9,127.90,replacement_price_created,True,True,True,True
61,prod_V8xXFw4xx3NEuP,MH-CAT-MONP-012,Mon Petit Crispy Kiss 海鮮及雞肉綜合包貓咪小食 144g｜Mon Petit Crispy Kiss Seafood and Chicken Variety Pack Cat Treats 144g,price_1U8fcIRyM6dRKLtZhierJFH2,price_1U92cHRyM6dRKLtZt6NOUDny,59.9,59.9,127.9,127.90,replacement_price_created,True,True,True,True
62,prod_V8xXZsF0TMS5c8,MH-CAT-MONP-013,"Mon Petit Crispy Kiss 真鯛、鰹魚及小魚高湯味貓咪小食 30g｜Mon Petit Crispy Kiss Snapper, Skipjack Tuna and Small Fish Broth Cat Treats 30g",price_1U8fcORyM6dRKLtZ1yMnnhEK,price_1U92cJRyM6dRKLtZhSxWDhFf,13.9,13.9,29.9,29.90,replacement_price_created,True,True,True,True
63,prod_V8xXM2ONlpEcC3,MH-CAT-MONP-014,Mon Petit Crispy Kiss 真鯛及海鮮綜合包貓咪小食 144g｜Mon Petit Crispy Kiss Snapper and Seafood Assortment Cat Treats 144g,price_1U8fcNRyM6dRKLtZWtmFsbjT,price_1U92cKRyM6dRKLtZQ2st81TE,59.9,59.9,127.9,127.90,replacement_price_created,True,True,True,True
64,prod_V8uInkIOBbpTsp,MH-CAT-PAMAX-001,PAMAX Miracle Series 生物酶除味貓砂 2.7kg｜PAMAX Miracle Series Enzyme Odour-Control Cat Litter 2.7kg,price_1U8cU6RyM6dRKLtZIwFymbls,price_1U92cMRyM6dRKLtZD9I4beES,90.0,90.0,191.9,191.90,replacement_price_created,True,True,True,True
65,prod_V8uInkIOBbpTsp,MH-CAT-PAMAX-001,PAMAX Miracle Series 生物酶除味貓砂 2.7kg｜PAMAX Miracle Series Enzyme Odour-Control Cat Litter 2.7kg,price_1U8cU6RyM6dRKLtZuYsvr2FS,price_1U92cNRyM6dRKLtZgMoIBTGk,46.0,46.0,97.9,97.90,replacement_price_created,True,True,True,True
66,prod_V8uInkIOBbpTsp,MH-CAT-PAMAX-001,PAMAX Miracle Series 生物酶除味貓砂 2.7kg｜PAMAX Miracle Series Enzyme Odour-Control Cat Litter 2.7kg,price_1U8cU7RyM6dRKLtZu7s2FINt,price_1U92cORyM6dRKLtZ8klVKPGY,223.0,223.0,473.9,473.90,replacement_price_created,True,True,True,True
67,prod_V8uIPfhAKY5ONF,MH-CAT-SNP-001,SNAPPY 低粉塵膨潤土貓砂 原味無香 7L｜SNAPPY Low-Dust Bentonite Cat Litter Unscented 7L,price_1U8cU9RyM6dRKLtZnyUTF5xl,price_1U92cPRyM6dRKLtZXtREBMtj,45.45,45.45,96.9,96.90,replacement_price_created,True,True,True,True
68,prod_V8vriJ8BqO90r3,MH-CAT-SNR-001,AIM30 貓咪鰹魚削節 12g｜AIM30 Cat Bonito Flakes 12g,price_1U8e01RyM6dRKLtZOgbpOPvb,price_1U92cRRyM6dRKLtZURNsKWZv,19.8,19.8,42.9,42.90,replacement_price_created,True,True,True,True
69,prod_V8vrSwyPdcre4F,MH-CAT-SNR-002,AIM30 貓咪雞肉絲 25g｜AIM30 Cat Shredded Chicken Fillet 25g,price_1U8e04RyM6dRKLtZkoQSmpqZ,price_1U92cSRyM6dRKLtZooONeXJ4,14.4,14.4,30.9,30.90,replacement_price_created,True,True,True,True
70,prod_V8vrvYaxZ1cxLJ,MH-CAT-SNR-003,AIM30 Karitto Treats 酥脆貓咪零食 雞肉及蟹肉味 25g｜AIM30 Karitto Treats 酥脆貓咪零食 雞肉及蟹肉味 25g,price_1U8e0DRyM6dRKLtZ7D7Iai7O,price_1U92cURyM6dRKLtZ4aRaEYkQ,23.8,23.8,50.9,50.90,replacement_price_created,True,True,True,True
71,prod_V8vrBdjzLlg7F7,MH-CAT-SNR-004,AIM30 Karitto Treats 酥脆貓咪零食 雞肉及牛肉味 25g｜AIM30 Karitto Treats 酥脆貓咪零食 雞肉及牛肉味 25g,price_1U8e0FRyM6dRKLtZE4JPj5uL,price_1U92cVRyM6dRKLtZ9ee1dve1,23.8,23.8,50.9,50.90,replacement_price_created,True,True,True,True
72,prod_V8vsqALfCDaZlZ,MH-CAT-SNR-005,AIM30 Karitto Treats 酥脆貓咪零食 牧場美味四種綜合包 80g｜AIM30 Karitto Treats 酥脆貓咪零食 牧場美味四種綜合包 80g,price_1U8e0IRyM6dRKLtZYfKTJ5RW,price_1U92cWRyM6dRKLtZbfuZX24b,56.0,56.0,119.9,119.90,replacement_price_created,True,True,True,True
73,prod_V8vs7g4SLaJWJ3,MH-CAT-SNR-006,AIM30 Karitto Treats 酥脆貓咪零食 吞拿魚及雞肉雙拼綜合包 80g｜AIM30 Karitto Treats 酥脆貓咪零食 吞拿魚及雞肉雙拼綜合包 80g,price_1U8e0LRyM6dRKLtZDV8NlhJy,price_1U92cZRyM6dRKLtZ47TcdL2i,56.0,56.0,119.9,119.90,replacement_price_created,True,True,True,True
74,prod_V8vsohIxXgEVDb,MH-CAT-SNR-007,AIM30 Karitto Treats 酥脆貓咪零食 吞拿魚及三文魚味 25g｜AIM30 Karitto Treats 酥脆貓咪零食 吞拿魚及三文魚味 25g,price_1U8e0NRyM6dRKLtZOs14Trkd,price_1U92caRyM6dRKLtZxdQa08LF,56.0,56.0,119.9,119.90,replacement_price_created,True,True,True,True
75,prod_V8vrxdYkx6Hq9O,MH-CAT-SNR-008,AIM30 Karitto Treats 酥脆貓咪零食 綜合營養吞拿魚味 25g｜AIM30 Karitto Treats Crispy Cat Treats Balanced Nutrition Tuna 25g,price_1U8dzrRyM6dRKLtZSyj8L3go,price_1U92cbRyM6dRKLtZ1o8s4vfO,14.4,14.4,30.9,30.90,replacement_price_created,True,True,True,True
76,prod_V8vrVGdqH472WR,MH-CAT-SNR-009,AIM30 Karitto Treats 酥脆貓咪零食 牛肉味 25g｜AIM30 Karitto Treats Crispy Cat Treats Beef Flavour 25g,price_1U8dzYRyM6dRKLtZ80e1VIfP,price_1U92cdRyM6dRKLtZTvZaO26Y,14.4,14.4,30.9,30.90,replacement_price_created,True,True,True,True
