mofu_sku,product_name,product_id,mofu_import_key,mofu_import_source,supplier_sku,local_match_type,local_source_files,local_cost_fields_and_values,local_pricing_rules
MH-CAT-CIAO-044,CIAO Premium｜6種功能性成分 (雞胸肉扇貝味)｜30g,prod_V8feew2ryjD7ql,ciao-vetslabo-2026::ciaovl-16,products_20_list.csv,CIAOVL-16,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-045,Vet's Labo｜MediMousse 腸胃呵護慕斯｜95g,prod_V8feViin1yPowA,ciao-vetslabo-2026::ciaovl-17,products_20_list.csv,CIAOVL-17,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-046,Vet's Labo｜MediMousse 健康支持慕斯｜95g,prod_V8fexvyuSOogz8,ciao-vetslabo-2026::ciaovl-18,products_20_list.csv,CIAOVL-18,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-047,Vet's Labo｜MediMousse 皮膚維護慕斯｜95g,prod_V8feexDq7xAidn,ciao-vetslabo-2026::ciaovl-19,products_20_list.csv,CIAOVL-19,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-048,Vet's Labo｜MediMousse 減肥減脂慕斯｜95g,prod_V8fe6YUsIrEf8Q,ciao-vetslabo-2026::ciaovl-20,products_20_list.csv,CIAOVL-20,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-001,COMBO Present 男生喜歡的口味 魚味 小包｜COMBO Present Boy-Friendly Fish Mini Pack,prod_V8crHGAsSzl77H,snack-order-2026::combo-present-boy-friendly-fish-mini-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-002,COMBO Present 潔齒防口臭 混合肉味 小包｜COMBO Present Dental and Breath Care Meat Mini Pack,prod_V8cr9iyVmqUz8O,snack-order-2026::combo-present-dental-and-breath-care-meat-mini-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-003,COMBO Present 潔齒防口臭 混合海鮮 小包｜COMBO Present Dental and Breath Care Seafood Mini Pack,prod_V8crzRJNuOzt2e,snack-order-2026::combo-present-dental-and-breath-care-seafood-mini-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-004,COMBO Present 潔齒防口臭 三種口味｜COMBO Present Dental and Breath Care Three-Flavour Variety Pack,prod_V8crNNIKOTELSy,snack-order-2026::combo-present-dental-and-breath-care-three-flavour-variety-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-005,COMBO Present 腸道環境維持 海鮮 小包｜COMBO Present Digestive Support Seafood Mini Pack,prod_V8crT5vLCe95hY,snack-order-2026::combo-present-digestive-support-seafood-mini-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-006,COMBO Present 腸道環境維持 三種口味｜COMBO Present Digestive Support Three-Flavour Variety Pack,prod_V8cr9ARnvUOKQM,snack-order-2026::combo-present-digestive-support-three-flavour-variety-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-007,COMBO Present 女生喜歡口味 混合海鮮 小包｜COMBO Present Girl-Friendly Seafood Mini Pack,prod_V8cr9Jv6Ewv0ui,snack-order-2026::combo-present-girl-friendly-seafood-mini-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-008,COMBO Present 化毛配方 混合海鮮 小包｜COMBO Present Hairball Care Seafood Mini Pack,prod_V8crpeVGxpASKY,snack-order-2026::combo-present-hairball-care-seafood-mini-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-009,COMBO Present 免疫力維持 海鮮 小包｜COMBO Present Immune Support Seafood Mini Pack,prod_V8crrguHp5YAXt,snack-order-2026::combo-present-immune-support-seafood-mini-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-010,COMBO Present 免疫力維持 三種口味｜COMBO Present Immune Support Three-Flavour Variety Pack,prod_V8cr2Q8hiWwniV,snack-order-2026::combo-present-immune-support-three-flavour-variety-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-011,COMBO Present 室內貓化毛 三種口味｜COMBO Present Indoor Cat Hairball Care Three-Flavour Variety Pack,prod_V8croZ9K3Kppbf,snack-order-2026::combo-present-indoor-cat-hairball-care-three-flavour-variety-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-012,COMBO Present 室內貓 金槍魚 小包｜COMBO Present Indoor Cat Tuna Mini Pack,prod_V8crhpakrZfoXD,snack-order-2026::combo-present-indoor-cat-tuna-mini-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-013,COMBO Present 維護腎臟 混合肉味 小包｜COMBO Present Kidney Health Support Meat Mini Pack,prod_V8crtmrNegpX6C,snack-order-2026::combo-present-kidney-health-support-meat-mini-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-014,COMBO Present 維護腎臟 混合海鮮 小包｜COMBO Present Kidney Health Support Seafood Mini Pack,prod_V8crvbMiPxxJvt,snack-order-2026::combo-present-kidney-health-support-seafood-mini-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-015,COMBO Present 維護腎臟配方 三種口味｜COMBO Present Kidney Health Support Three-Flavour Variety Pack,prod_V8crErEJilA30r,snack-order-2026::combo-present-kidney-health-support-three-flavour-variety-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-016,COMBO Present 低脂絕育貓 混合海鮮 小包｜COMBO Present Low-Fat Neutered Cat Seafood Mini Pack,prod_V8crzn01d7SXcg,snack-order-2026::combo-present-low-fat-neutered-cat-seafood-mini-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-017,COMBO Present 維護泌尿 混合海鮮 小包｜COMBO Present Urinary Health Support Seafood Mini Pack,prod_V8cr8kOWyjP3g1,snack-order-2026::combo-present-urinary-health-support-seafood-mini-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CMP-018,COMBO Present 維護泌尿配方 三種口味｜COMBO Present Urinary Health Support Three-Flavour Variety Pack,prod_V8crKsH08GDJxM,snack-order-2026::combo-present-urinary-health-support-three-flavour-variety-pack,MofuHaven_Order_For_Boss.md,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-COMBO-001,COMBO 貓咪奢華美食四重滋味熟成鰹魚乾糧 600g｜COMBO Luxury Gourmet Four Flavours with Aged Bonito Dry Cat Food 600g,prod_V8lAOpvuncOCZM,batch24-2026::b24-10,batch24_product_mapping.json,B24-10,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""89.6""},{""field"":""source_cost_cny"",""cny"":""89.6""},{""field"":""source_cost_cny"",""cny"":""89.6""}]",[]
MH-CAT-COMBO-002,COMBO 貓咪奢華美食拼配鮭魚脆片鰹魚節乾糧 700g｜COMBO Luxury Gourmet Blend with Salmon Chips & Bonito Flakes Dry Cat Food 700g,prod_V8lAeH2hqPlna6,batch24-2026::b24-11,batch24_product_mapping.json,B24-11,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""89.6""},{""field"":""source_cost_cny"",""cny"":""89.6""},{""field"":""source_cost_cny"",""cny"":""89.6""}]",[]
MH-CAT-COMBO-003,COMBO 體重關注貓用鮪魚鰹魚節乾糧 600g｜COMBO Weight-Concern Cat Tuna Dry Food with Bonito Flakes 600g,prod_V8lAWevxk3Za0C,batch24-2026::b24-12,batch24_product_mapping.json,B24-12,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""89.6""},{""field"":""source_cost_cny"",""cny"":""89.6""},{""field"":""source_cost_cny"",""cny"":""89.6""}]",[]
MH-CAT-GNSP-001,銀之匙 濃湯仕立鮪魚貓罐頭 70g｜Gin no Spoon Thick Gravy Tuna Cat Can 70g,prod_V8lAUga8Mwc3d0,batch24-2026::b24-20,batch24_product_mapping.json,B24-20,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""9.3""},{""field"":""source_cost_cny"",""cny"":""9.3""},{""field"":""source_cost_cny"",""cny"":""9.3""}]",[]
MH-CAT-GNSP-002,"銀之匙 鮪魚鰹魚雞胸肉貓罐頭 70g｜Gin no Spoon Tuna, Bonito & Chicken Breast Cat Can 70g",prod_V8lAjMRJn8PScz,batch24-2026::b24-21,batch24_product_mapping.json,B24-21,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""9.3""},{""field"":""source_cost_cny"",""cny"":""9.3""},{""field"":""source_cost_cny"",""cny"":""9.3""}]",[]
MH-CAT-GNSP-003,"銀之匙 濃湯仕立鮪魚鰹魚雞胸肉貓罐頭 70g｜Gin no Spoon Thick Gravy Tuna, Bonito & Chicken Breast Cat Can 70g",prod_V8lATH0SDiLKBx,batch24-2026::b24-22,batch24_product_mapping.json,B24-22,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""9.3""},{""field"":""source_cost_cny"",""cny"":""9.3""},{""field"":""source_cost_cny"",""cny"":""9.3""}]",[]
MH-CAT-GNSP-004,"銀之匙 魚肉雞胸肉吻仔魚貓罐頭 70g｜Gin no Spoon Fish, Chicken Breast & Shirasu Cat Can 70g",prod_V8lAGdiamaGSwC,batch24-2026::b24-23,batch24_product_mapping.json,B24-23,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""9.3""},{""field"":""source_cost_cny"",""cny"":""9.3""},{""field"":""source_cost_cny"",""cny"":""9.3""}]",[]
MH-CAT-GNSP-005,"銀之匙 魚肉雞胸肉鰹魚節貓罐頭 70g｜Gin no Spoon Fish, Chicken Breast & Bonito Flakes Cat Can 70g",prod_V8lATUvYyTfiyk,batch24-2026::b24-24,batch24_product_mapping.json,B24-24,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""9.3""},{""field"":""source_cost_cny"",""cny"":""9.3""},{""field"":""source_cost_cny"",""cny"":""9.3""}]",[]
MH-CAT-MCK-001,三文魚 17g (預定),prod_V8W0oLt83VbMEB,三文魚 17g (預定),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-002,圓粒雞里脊 18g (現貨 / 賞味 28.01),prod_V8W0n6wDbyKpya,圓粒雞里脊 18g (現貨 / 賞味 28.01),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-003,扇貝 11g (現貨 / 27.01.15),prod_V8W0BWVdW0bKlr,扇貝 11g (現貨 / 27.01.15),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-004,牛大腿肉 17g (現貨 / 2027.12.01),prod_V8W0eQFDHSCPxC,牛大腿肉 17g (現貨 / 2027.12.01),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-005,胡瓜魚凍干 10g (預定),prod_V8W0xHzc6tqf3B,胡瓜魚凍干 10g (預定),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-006,虹鱒魚 15g (現貨 / 賞味 27.5),prod_V8W0fChA9h4VNq,虹鱒魚 15g (現貨 / 賞味 27.5),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-007,豬大腿肉 20g (預定),prod_V8W0DDhtV271xl,豬大腿肉 20g (預定),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-008,豬心 25g (預定 (缺貨)),prod_V8W0LKmYo2bfxf,豬心 25g (預定 (缺貨)),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-009,金槍魚 14g (預定),prod_V8W0mdB77ZJc5M,金槍魚 14g (預定),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-010,銀魚 10g (預定),prod_V8W073h3MHqGhr,銀魚 10g (預定),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-011,雞胸肉 150g (現貨 / 賞味 27.10),prod_V8VzG9Cs8B2Rjb,雞胸肉 150g (現貨 / 賞味 27.10),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-012,雞胸肉 30g (現貨 / 賞味 28.01),prod_V8VzTooOH64y65,雞胸肉 30g (現貨 / 賞味 28.01),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-013,雞胸肉碎沫凍干粉拌飯 (現貨 / 2027.11.17),prod_V8W07sgetW5UqK,雞胸肉碎沫凍干粉拌飯 (現貨 / 2027.11.17),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-014,雞胸肉雞肝凍干 120g (現貨 / 27.07),prod_V8W0oMeIOyFLhp,雞胸肉雞肝凍干 120g (現貨 / 27.07),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-015,雞胸肉雞肝凍干 18g (預定),prod_V8VzYLI6mgAR3P,雞胸肉雞肝凍干 18g (預定),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-016,雞胸肉雞肫凍干 120g (現貨 / 2027.04.03),prod_V8W06fowHsMOSF,雞胸肉雞肫凍干 120g (現貨 / 2027.04.03),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-017,雞胸肉雞肫凍干 18g (現貨 / 2027.04.25),prod_V8W072ieTWyOZ7,雞胸肉雞肫凍干 18g (現貨 / 2027.04.25),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-018,雞里脊 150g (現貨 / 2027.11.30),prod_V8Vz4r6kx51OK2,雞里脊 150g (現貨 / 2027.11.30),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-019,雞里脊 30g (預定),prod_V8VzICRXhFqVtH,雞里脊 30g (預定),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-MCK-020,雞里脊碎沫凍干粉拌飯 (預定),prod_V8W0OgEY0HBtlD,雞里脊碎沫凍干粉拌飯 (預定),pet_products_clean_retail_only.csv,,not_found_in_local_cny_cost_mappings,,[],[]
MH-DOG-COMBO-001,COMBO Pure 香嫩雞胸肉切塊狗狗小食 50g｜COMBO Pure Tender Chicken Breast Cubes Dog Treat 50g,prod_V8lActmdKRF9Nz,batch24-2026::b24-05,batch24_product_mapping.json,B24-05,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""31.7""},{""field"":""source_cost_cny"",""cny"":""31.7""},{""field"":""source_cost_cny"",""cny"":""31.7""}]",[]
MH-DOG-COMBO-002,COMBO Pure 香嫩雞胸肉絲狗狗小食 50g｜COMBO Pure Tender Chicken Breast Strips Dog Treat 50g,prod_V8lAyjALw49Mz2,batch24-2026::b24-06,batch24_product_mapping.json,B24-06,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""31.7""},{""field"":""source_cost_cny"",""cny"":""31.7""},{""field"":""source_cost_cny"",""cny"":""31.7""}]",[]
MH-DOG-COMBO-003,COMBO Pure 羅勒香雞肉切塊狗狗小食 50g｜COMBO Pure Basil-Scented Chicken Cubes Dog Treat 50g,prod_V8lA3nhXSFdHkU,batch24-2026::b24-07,batch24_product_mapping.json,B24-07,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""31.7""},{""field"":""source_cost_cny"",""cny"":""31.7""},{""field"":""source_cost_cny"",""cny"":""31.7""}]",[]
MH-DOG-COMBO-004,COMBO Pure 雞肉軟骨切塊狗狗小食 50g｜COMBO Pure Chicken & Cartilage Cubes Dog Treat 50g,prod_V8lA4N42hxS8dk,batch24-2026::b24-08,batch24_product_mapping.json,B24-08,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""31.7""},{""field"":""source_cost_cny"",""cny"":""31.7""},{""field"":""source_cost_cny"",""cny"":""31.7""}]",[]
MH-DOG-COMBO-005,COMBO Pure 雞胸肉三種蔬菜切塊狗狗小食 50g｜COMBO Pure Chicken Breast & Three Vegetable Cubes Dog Treat 50g,prod_V8lA7fjOQvodwx,batch24-2026::b24-09,batch24_product_mapping.json,B24-09,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""31.7""},{""field"":""source_cost_cny"",""cny"":""31.7""},{""field"":""source_cost_cny"",""cny"":""31.7""}]",[]
MH-DOG-COMBO-006,COMBO Pure 日本產雞肉蔬菜狗狗乾糧 600g｜COMBO Pure Japanese Chicken & Vegetable Dry Dog Food 600g,prod_V8lA8TrpHKZ0AE,batch24-2026::b24-13,batch24_product_mapping.json,B24-13,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""}]",[]
MH-DOG-COMBO-007,COMBO Pure 蔬菜嚴選芝士狗狗乾糧 600g｜COMBO Pure Vegetable & Selected Cheese Dry Dog Food 600g,prod_V8lAFkM1R1Q06Q,batch24-2026::b24-14,batch24_product_mapping.json,B24-14,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""}]",[]
MH-DOG-COMBO-008,COMBO Pure 嚴選芝士日本產雞肉狗狗乾糧 600g｜COMBO Pure Selected Cheese & Japanese Chicken Dry Dog Food 600g,prod_V8lA3mO6fUVnGr,batch24-2026::b24-15,batch24_product_mapping.json,B24-15,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""}]",[]
MH-DOG-COMBO-009,COMBO Pure 超小粒日本產雞肉蔬菜狗狗乾糧 600g｜COMBO Pure Extra-Small Kibble Japanese Chicken & Vegetable Dry Dog Food 600g,prod_V8lArvqiVc3AMr,batch24-2026::b24-16,batch24_product_mapping.json,B24-16,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""}]",[]
MH-DOG-COMBO-010,COMBO Pure 低脂日本產雞肉蔬菜狗狗乾糧 600g｜COMBO Pure Low-Fat Japanese Chicken & Vegetable Dry Dog Food 600g,prod_V8lAGBIlndcl9U,batch24-2026::b24-17,batch24_product_mapping.json,B24-17,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""}]",[]
MH-DOG-COMBO-011,COMBO Pure 凍乾配料日本產雞肉蔬菜狗狗乾糧 540g｜COMBO Pure Freeze-Dried Topping Japanese Chicken & Vegetable Dry Dog Food 540g,prod_V8lAaOLN6jDE2s,batch24-2026::b24-18,batch24_product_mapping.json,B24-18,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""}]",[]
MH-DOG-COMBO-012,COMBO Pure 魚肉米狗狗乾糧 540g｜COMBO Pure Fish & Rice Dry Dog Food 540g,prod_V8lA3QuLuCwOig,batch24-2026::b24-19,batch24_product_mapping.json,B24-19,supplier_sku,batch24_import_mapping.json;batch24_product_mapping.json;batch24_stripe_manifest.json,"[{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""},{""field"":""source_cost_cny"",""cny"":""87.0""}]",[]
MH-DOG-COMBO-013,COMBO 捲心菜牛肉狗狗乾糧 720g｜COMBO Cabbage & Beef Dry Dog Food 720g,prod_V8kNDRrV7QQWc8,combo-dogfood-720g-2026::combo-dogfood-720g-cabbage-beef,user-confirmed-combo-dogfood-5,COMBO-DOG-720-03,supplier_sku,combo_dogfood_5_import_mapping.json,"[{""field"":""source_cost_cny"",""cny"":""114""}]",[]
MH-DOG-COMBO-014,"COMBO 牛肉小魚乾芝士蔬菜狗狗乾糧 720g｜COMBO Beef, Dried Small Fish, Cheese & Vegetable Blend Dry Dog Food 720g",prod_V8kNSV91CKgxb8,combo-dogfood-720g-2026::combo-dogfood-720g-chicken-beef-small-fish,user-confirmed-combo-dogfood-5,COMBO-DOG-720-01,supplier_sku,combo_dogfood_5_import_mapping.json,"[{""field"":""source_cost_cny"",""cny"":""114""}]",[]
MH-DOG-COMBO-015,COMBO 馬蘇里拉芝士角切狗狗乾糧 720g｜COMBO Mozzarella Cheese Cubes Dry Dog Food 720g,prod_V8kNDHKt8kCFkT,combo-dogfood-720g-2026::combo-dogfood-720g-chicken-cheese,user-confirmed-combo-dogfood-5,COMBO-DOG-720-02,supplier_sku,combo_dogfood_5_import_mapping.json,"[{""field"":""source_cost_cny"",""cny"":""114""}]",[]
MH-DOG-COMBO-016,COMBO 低脂小魚乾雞肉狗狗乾糧 720g｜COMBO Low-Fat Dried Small Fish & Chicken Dry Dog Food 720g,prod_V8kNXGrzdUVGWS,combo-dogfood-720g-2026::combo-dogfood-720g-low-fat-chicken-vegetables-small-fish,user-confirmed-combo-dogfood-5,COMBO-DOG-720-04,supplier_sku,combo_dogfood_5_import_mapping.json,"[{""field"":""source_cost_cny"",""cny"":""114""}]",[]
