product_id,price_id,is_default_price,variant_mode,variant_label_zh,mofu_sku,product_name,brand,category,current_hkd,cost_cny,target_product_margin,stored_cny_to_hkd,latest_cny_to_hkd,fx_change_percent,rounding_rule,pricing_ship_to_hk_hkd,retail_pricing_rule,unrounded_proposed_hkd,proposed_hkd,price_change_hkd,price_change_percent,current_margin_at_latest_fx,proposed_margin_at_latest_fx,would_change_without_guard,passes_potential_fx_trigger_0_5_percent,within_potential_price_change_cap_5_percent,potential_review_guard_status
prod_V90yxohDmOksl3,price_1U8iwgRyM6dRKLtZWmshq8Qw,true,single,單罐,MH-CAT-CIAO-011,CIAO｜雞肉烤鰹魚柴魚片貓罐頭｜單罐,CIAO,cats,27.90,12.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",27.1779,27.90,0.00,0.0000,0.4642,0.4642,False,False,True,no_price_change
prod_V90yrU6QwJj9H4,price_1U8iwhRyM6dRKLtZedeY1D6y,true,single,單罐,MH-CAT-CIAO-012,CIAO｜雞肉甜蝦小銀魚貓罐頭｜單罐,CIAO,cats,29.90,13.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.3012,29.90,0.00,0.0000,0.4610,0.4610,False,False,True,no_price_change
prod_V90ynw7GK161mE,price_1U8iwiRyM6dRKLtZDni4Rrvo,true,single,單罐,MH-CAT-CIAO-013,CIAO｜鰹魚柴魚片貓罐頭｜單罐,CIAO,cats,29.90,13.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.3012,29.90,0.00,0.0000,0.4610,0.4610,False,False,True,no_price_change
prod_V90yisznvIVXlp,price_1U8iwjRyM6dRKLtZL7hePLZM,true,single,單罐,MH-CAT-CIAO-014,CIAO｜烤鰹魚鮪魚雞肉貓罐頭｜單罐,CIAO,cats,33.90,15.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",33.5477,33.90,0.00,0.0000,0.4557,0.4557,False,False,True,no_price_change
prod_V90ynvqu5ntnjO,price_1U8iwkRyM6dRKLtZLKkQOBAC,true,single,單罐,MH-CAT-CIAO-015,CIAO｜雞肉扇貝柱貓罐頭｜單罐,CIAO,cats,29.90,13.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.3012,29.90,0.00,0.0000,0.4610,0.4610,False,False,True,no_price_change
prod_V90ytLadcfCm8a,price_1U8iwlRyM6dRKLtZUPCtyfo0,true,single,單罐,MH-CAT-CIAO-016,CIAO｜雞肉蟹柳柴魚片貓罐頭｜單罐,CIAO,cats,29.90,13.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.3012,29.90,0.00,0.0000,0.4610,0.4610,False,False,True,no_price_change
prod_V90yqFB6WTazQ9,price_1U8iwmRyM6dRKLtZY9nLDMUK,true,single,單罐,MH-CAT-CIAO-017,CIAO｜雞肉蟹柳貓罐頭｜單罐,CIAO,cats,29.90,13.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.3012,29.90,0.00,0.0000,0.4610,0.4610,False,False,True,no_price_change
prod_V90yyLLKXQRQey,price_1U8iwoRyM6dRKLtZP8VcS1tu,true,single,單罐,MH-CAT-CIAO-018,CIAO｜鮪魚白肉扇貝柱貓罐頭｜單罐,CIAO,cats,27.90,12.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",27.1779,27.90,0.00,0.0000,0.4642,0.4642,False,False,True,no_price_change
prod_V90y14gfPJNkP3,price_1U8iwpRyM6dRKLtZc7uPsPIp,true,single,單罐,MH-CAT-CIAO-019,CIAO｜11歲以上鰹魚白肉貓罐頭｜單罐,CIAO,cats,33.90,15.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",33.5477,33.90,0.00,0.0000,0.4557,0.4557,False,False,True,no_price_change
prod_V90yRB01IgVrDV,price_1U8iwqRyM6dRKLtZTZ0TAzAG,true,single,單罐,MH-CAT-CIAO-020,CIAO｜11歲以上鮪魚白肉貓罐頭｜單罐,CIAO,cats,33.90,15.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",33.5477,33.90,0.00,0.0000,0.4557,0.4557,False,False,True,no_price_change
prod_V90yoyex98iTAW,price_1U8iwrRyM6dRKLtZ3rlOZMIV,true,single,單罐,MH-CAT-CIAO-021,CIAO｜14歲以上鮪魚白肉小銀魚貓罐頭｜單罐,CIAO,cats,33.90,15.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",33.5477,33.90,0.00,0.0000,0.4557,0.4557,False,False,True,no_price_change
prod_V90yC8a54bE0EL,price_1U8iwsRyM6dRKLtZ9WdAiJhl,true,single,單罐,MH-CAT-CIAO-022,CIAO｜14歲以上鰹魚柴魚片貓罐頭｜單罐,CIAO,cats,33.90,15.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",33.5477,33.90,0.00,0.0000,0.4557,0.4557,False,False,True,no_price_change
prod_V90yhIRALdzZyY,price_1U8iwtRyM6dRKLtZyY5icJzG,true,single,85g／單罐,MH-CAT-CIAO-023,Inaba かつまぐろ｜鮪魚雞肉貓罐頭｜85g／單罐,Inaba かつまぐろ,cats,14.90,6.8100,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",14.4595,14.90,0.00,0.0000,0.4663,0.4663,False,False,True,no_price_change
prod_V90yhuy2ZgCVZK,price_1U8iwuRyM6dRKLtZD1NxsXXw,true,single,85g／單罐,MH-CAT-CIAO-024,Inaba かつまぐろ｜鮪魚貓罐頭｜85g／單罐,Inaba かつまぐろ,cats,14.90,6.8100,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",14.4595,14.90,0.00,0.0000,0.4663,0.4663,False,False,True,no_price_change
prod_V90yWS8dLSjcn2,price_1U8iwwRyM6dRKLtZ4TVBysAG,true,single,85g／單罐,MH-CAT-CIAO-025,Inaba かつまぐろ｜鮪魚三文魚貓罐頭｜85g／單罐,Inaba かつまぐろ,cats,14.90,6.8100,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",14.4595,14.90,0.00,0.0000,0.4663,0.4663,False,False,True,no_price_change
prod_V90yAWxmanLYZk,price_1U8iwxRyM6dRKLtZccf5xxZZ,true,single,85g／單罐,MH-CAT-CIAO-026,Inaba かつまぐろ｜鮪魚小銀魚貓罐頭｜85g／單罐,Inaba かつまぐろ,cats,14.90,6.8100,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",14.4595,14.90,0.00,0.0000,0.4663,0.4663,False,False,True,no_price_change
prod_V90yCfcKRyo9ou,price_1U8iwyRyM6dRKLtZS9C8A5Eu,true,single,85g × 6罐,MH-CAT-CIAO-027,Inaba かつまぐろ｜多口味隨機混拼貓罐頭｜85g × 6罐,Inaba かつまぐろ,cats,62.90,29.4200,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",62.4667,62.90,0.00,0.0000,0.4538,0.4538,False,False,True,no_price_change
prod_V90yWGm3mtcreN,price_1U8iwzRyM6dRKLtZ5uUc9AxZ,true,single,85g／單罐,MH-CAT-CIAO-028,Inaba かつまぐろ｜高齡貓鮪魚貓罐頭｜85g／單罐,Inaba かつまぐろ,cats,14.90,6.8100,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",14.4595,14.90,0.00,0.0000,0.4663,0.4663,False,False,True,no_price_change
prod_V8uJcEJtSEmb69,price_1U8cUURyM6dRKLtZjiy5wjhq,true,single,200g（20g × 10袋）,MH-CAT-GNSP-006,銀之匙 三ツ星グルメ 香酥魚香 魚味綜合乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Assorted Fish Dry Cat Food 200g,銀之匙／三ツ星グルメ,cats,95.90,44.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",95.1226,95.90,0.00,0.0000,0.4545,0.4545,False,False,True,no_price_change
prod_V8uJI32Jxh5dCc,price_1U8cUPRyM6dRKLtZO8S4Hj2n,true,single,200g（20g × 10袋）,MH-CAT-GNSP-007,銀之匙 三ツ星グルメ 香酥魚香 魚肉雞肉四拼乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Fish & Chicken Four-Recipe Dry Cat Food 200g,銀之匙／三ツ星グルメ,cats,95.90,44.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",95.1226,95.90,0.00,0.0000,0.4545,0.4545,False,False,True,no_price_change
prod_V8uILuFno1z4MZ,price_1U8cUMRyM6dRKLtZiqoZhzs8,true,single,200g,MH-CAT-GNSP-008,銀之匙 三ツ星グルメ 香酥魚香 腸胃健康照護乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Fish Gut-Health Care Dry Cat Food 200g,銀之匙／三ツ星グルメ,cats,95.90,44.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",95.1226,95.90,0.00,0.0000,0.4545,0.4545,False,False,True,no_price_change
prod_V8uJPueROjgX6L,price_1U8cURRyM6dRKLtZxOISi7XP,true,single,200g,MH-CAT-GNSP-009,銀之匙 三ツ星グルメ 香酥魚香 毛球護理乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Fish Hairball Care Dry Cat Food 200g,銀之匙／三ツ星グルメ,cats,95.90,44.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",95.1226,95.90,0.00,0.0000,0.4545,0.4545,False,False,True,no_price_change
prod_V8uJVy7nhLvdrI,price_1U8cUXRyM6dRKLtZaTGFfSor,true,single,200g（20g × 10袋）,MH-CAT-GNSP-010,"銀之匙 三ツ星グルメ 香酥魚香 金槍魚鯛魚鰹魚扇貝乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Tuna, Sea Bream, Bonito & Scallop Dry Cat Food 200g",銀之匙／三ツ星グルメ,cats,95.90,44.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",95.1226,95.90,0.00,0.0000,0.4545,0.4545,False,False,True,no_price_change
prod_V8uIfmE32YGKQz,price_1U8cUHRyM6dRKLtZILTR8TCU,true,single,180g,MH-CAT-GNSP-011,銀之匙 三ツ星グルメ 夾心奶油 魚味綜合乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Assorted Fish Dry Cat Food 180g,銀之匙／三ツ星グルメ,cats,95.90,44.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",95.1226,95.90,0.00,0.0000,0.4545,0.4545,False,False,True,no_price_change
prod_V8uIgedRHwtgJJ,price_1U8cUJRyM6dRKLtZoV9l2W9Y,true,single,180g,MH-CAT-GNSP-012,銀之匙 三ツ星グルメ 夾心奶油 腸胃健康魚味三拼乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Gut-Health Fish Three-Recipe Dry Cat Food 180g,銀之匙／三ツ星グルメ,cats,95.90,44.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",95.1226,95.90,0.00,0.0000,0.4545,0.4545,False,False,True,no_price_change
prod_V8uIc8IHCyEuCW,price_1U8cUCRyM6dRKLtZZdqgSvlS,true,single,180g,MH-CAT-GNSP-013,銀之匙 三ツ星グルメ 夾心奶油 金槍魚鰹魚味乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & Bonito Dry Cat Food 180g,銀之匙／三ツ星グルメ,cats,95.90,44.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",95.1226,95.90,0.00,0.0000,0.4545,0.4545,False,False,True,no_price_change
prod_V8uID4s03TNUrL,price_1U8cUERyM6dRKLtZmdIE2erH,true,single,180g,MH-CAT-GNSP-014,銀之匙 三ツ星グルメ 夾心奶油 金槍魚鯛魚味乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & Sea Bream Dry Cat Food 180g,銀之匙／三ツ星グルメ,cats,95.90,44.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",95.1226,95.90,0.00,0.0000,0.4545,0.4545,False,False,True,no_price_change
prod_V8vr5nCW67gu8X,price_1U8e0ARyM6dRKLtZWOXn9WYV,true,single,鮪魚及白蝦味,MH-CAT-GNSP-015,銀之匙 三ツ星グルメ 魚肉奶油夾心 鮪魚及白蝦味乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & White Shrimp Dry Cat Food 180g,銀之匙／三ツ星グルメ,cats,116.90,55.0000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",116.7800,116.90,0.00,0.0000,0.4506,0.4506,False,False,True,no_price_change
prod_V8th4gMOUDUrzu,price_1U8btqRyM6dRKLtZ3JpWeJNI,true,single,180g (18g × 10 bags),MH-CAT-GNSP-016,銀之匙 三ツ星グルメ 夾心奶油 魚肉雞里脊三拼乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Fish & Chicken Tender Three-Recipe Dry Cat Food 180g,銀之匙／三ツ星グルメ,cats,99.90,46.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",99.3692,99.90,0.00,0.0000,0.4529,0.4529,False,False,True,no_price_change
prod_V8thb2VVnmHjCY,price_1U8bttRyM6dRKLtZYVjv60by,true,single,180g (18g × 10 bags),MH-CAT-GNSP-017,銀之匙 三ツ星グルメ 夾心奶油 金槍魚鰹魚毛球護理乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & Bonito Hairball Care Dry Cat Food 180g,銀之匙／三ツ星グルメ,cats,99.90,46.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",99.3692,99.90,0.00,0.0000,0.4529,0.4529,False,False,True,no_price_change
prod_V8th51dTMblovb,price_1U8btoRyM6dRKLtZuVNr212k,true,single,180g (18g × 10 bags),MH-CAT-GNSP-018,銀之匙 三ツ星グルメ 夾心奶油 金槍魚雞里脊味乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & Chicken Tender Dry Cat Food 180g,銀之匙／三ツ星グルメ,cats,99.90,46.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",99.3692,99.90,0.00,0.0000,0.4529,0.4529,False,False,True,no_price_change
prod_V8thjTAXBn4Lnx,price_1U8btlRyM6dRKLtZG99b8TZR,true,single,240g (20g × 12 bags),MH-CAT-GNSP-019,銀之匙 三ツ星グルメ 香酥魚香毛球護理乾糧 240g｜Gin no Spoon Mitsuboshi Gourmet Fish Recipe Hairball Care Dry Cat Food 240g,銀之匙／三ツ星グルメ,cats,95.90,44.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",95.1226,95.90,0.00,0.0000,0.4545,0.4545,False,False,True,no_price_change
prod_V8thBqcqHiv3cZ,price_1U8bu8RyM6dRKLtZrtZ6IOrx,true,single,240g (20g × 12 bags),MH-CAT-GNSP-020,銀之匙 三ツ星グルメ 幼貓魚味加牛奶乾糧 240g｜Gin no Spoon Mitsuboshi Gourmet Kitten Fish Recipe with Milk Dry Cat Food 240g,銀之匙／三ツ星グルメ,cats,99.90,46.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",99.3692,99.90,0.00,0.0000,0.4529,0.4529,False,False,True,no_price_change
prod_V8thwhOf6ahDTN,price_1U8bu5RyM6dRKLtZGPNwKLAo,true,single,200g (20g × 10 bags),MH-CAT-GNSP-021,銀之匙 三ツ星グルメ 10歲起腎臟健康維護魚味四拼乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet 10+ Kidney Health Maintenance Fish Four-Recipe Dry Cat Food 200g,銀之匙／三ツ星グルメ,cats,99.90,46.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",99.3692,99.90,0.00,0.0000,0.4529,0.4529,False,False,True,no_price_change
prod_V8thRjwLfHWe9X,price_1U8btvRyM6dRKLtZPuQqw0hP,true,single,160g (16g × 10 bags),MH-CAT-GNSP-022,銀之匙 三ツ星グルメ 鮮旨香 魚肉雞里脊三拼乾糧 160g｜Gin no Spoon Mitsuboshi Gourmet Shimi-Uma Fish & Chicken Tender Three-Recipe Dry Cat Food 160g,銀之匙／三ツ星グルメ,cats,99.90,46.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",99.3692,99.90,0.00,0.0000,0.4529,0.4529,False,False,True,no_price_change
prod_V8thsQJq4RYszQ,price_1U8btyRyM6dRKLtZ2aDVvnPF,true,single,192g (16g × 12 bags),MH-CAT-GNSP-023,"銀之匙 三ツ星グルメ 鮮旨香 金槍魚雞里脊鰹魚乾糧 192g｜Gin no Spoon Mitsuboshi Gourmet Shimi-Uma Tuna, Chicken Tender & Bonito Dry Cat Food 192g",銀之匙／三ツ星グルメ,cats,99.90,46.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",99.3692,99.90,0.00,0.0000,0.4529,0.4529,False,False,True,no_price_change
prod_V8thk9qKECj0in,price_1U8bu0RyM6dRKLtZKGEvnAcj,true,single,192g (16g × 12 bags),MH-CAT-GNSP-024,"銀之匙 三ツ星グルメ 鮮旨香 金槍魚鯛魚鰹魚乾糧 192g｜Gin no Spoon Mitsuboshi Gourmet Shimi-Uma Tuna, Sea Bream & Bonito Dry Cat Food 192g",銀之匙／三ツ星グルメ,cats,99.90,46.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",99.3692,99.90,0.00,0.0000,0.4529,0.4529,False,False,True,no_price_change
prod_V8thPo6RjbpnwO,price_1U8bu3RyM6dRKLtZLjAK97QM,true,single,192g (16g × 12 bags),MH-CAT-GNSP-025,銀之匙 三ツ星グルメ 餐後吐毛輕減及毛球護理魚味乾糧 192g｜Gin no Spoon Mitsuboshi Gourmet Fish Recipe Dry Cat Food for Reduced Post-Meal Vomiting & Hairball Care 192g,銀之匙／三ツ星グルメ,cats,99.90,46.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0,"CNY×1.1654/(1-45%), upward .90",99.3692,99.90,0.00,0.0000,0.4529,0.4529,False,False,True,no_price_change
prod_V8xXn4fyGQ2Iwg,price_1U8fcPRyM6dRKLtZkmzKQFaa,true,single,鰹魚及小魚高湯味｜30g,MH-CAT-MONP-001,Mon Petit Crispy Kiss 鰹魚及小魚高湯味貓咪小食 30g｜Mon Petit Crispy Kiss Bonito and Small Fish Broth Cat Treats 30g,Purina Mon Petit,cats,29.90,13.9000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.5135,29.90,0.00,0.0000,0.4571,0.4571,False,False,True,no_price_change
prod_V8xXSx8MWb3Y8D,price_1U8fcGRyM6dRKLtZbNYK0jlM,true,single,芝士及雞肉味｜30g,MH-CAT-MONP-002,Mon Petit Crispy Kiss 芝士及雞肉味貓咪小食 30g｜Mon Petit Crispy Kiss Cheese and Chicken Flavour Cat Treats 30g,Purina Mon Petit,cats,29.90,13.9000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.5135,29.90,0.00,0.0000,0.4571,0.4571,False,False,True,no_price_change
prod_V8xXLMbKeB2tb9,price_1U8fcDRyM6dRKLtZDd0FVQMW,true,single,鮮魚、雞肉及貓薄荷｜24g,MH-CAT-MONP-003,Mon Petit Crispy Kiss 鮮魚雞肉貓薄荷味貓咪小食 24g｜Mon Petit Crispy Kiss Fish and Chicken with Catnip Cat Treats 24g,Purina Mon Petit,cats,29.90,13.9000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.5135,29.90,0.00,0.0000,0.4571,0.4571,False,False,True,no_price_change
prod_V8xXYKr9wN7Aee,price_1U8fcJRyM6dRKLtZd8RKpg9m,true,single,鮮魚精選｜30g,MH-CAT-MONP-004,Mon Petit Crispy Kiss 鮮魚精選貓咪小食 30g｜Mon Petit Crispy Kiss Fish Select Cat Treats 30g,Purina Mon Petit,cats,29.90,13.9000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.5135,29.90,0.00,0.0000,0.4571,0.4571,False,False,True,no_price_change
prod_V8xX5m49XGPiSw,price_1U8fcFRyM6dRKLtZeD9cGjwS,true,single,奢華雞肉味｜24g,MH-CAT-MONP-005,Mon Petit Crispy Kiss 奢華雞肉味貓咪小食 24g｜Mon Petit Crispy Kiss Luxury Chicken Flavour Cat Treats 24g,Purina Mon Petit,cats,29.90,13.9000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.5135,29.90,0.00,0.0000,0.4571,0.4571,False,False,True,no_price_change
prod_V8xXBfCtwPwxjK,price_1U8fcERyM6dRKLtZ463dtKpL,true,single,奢華鮮魚味｜24g,MH-CAT-MONP-006,Mon Petit Crispy Kiss 奢華鮮魚味貓咪小食 24g｜Mon Petit Crispy Kiss Luxury Fish Flavour Cat Treats 24g,Purina Mon Petit,cats,29.90,13.9000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.5135,29.90,0.00,0.0000,0.4571,0.4571,False,False,True,no_price_change
prod_V8xXV7x4AmWu89,price_1U8fcRRyM6dRKLtZMvlsOquW,true,single,奢華三文魚味｜24g,MH-CAT-MONP-007,Mon Petit Crispy Kiss 奢華三文魚味貓咪小食 24g｜Mon Petit Crispy Kiss Luxury Salmon Flavour Cat Treats 24g,Purina Mon Petit,cats,29.90,13.9000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.5135,29.90,0.00,0.0000,0.4571,0.4571,False,False,True,no_price_change
